date,amount,description,category,paymentMethod,tags
2025-10-23,36000,"Ayam Bakar Mama Jelita",Food & Dining,CREDIT_CARD,"restaurant"
2025-10-24,102300,"Christine Bakery",Food & Dining,CREDIT_CARD,"bakery,cafe"
2025-10-24,68800,"Grab (MAV)",Transport,CREDIT_CARD,"ride-hailing,grab"
2025-10-24,18300,"Idm",Software,CREDIT_CARD,"idm,software"
2025-10-24,5000,"Grab (RAV)",Transport,CREDIT_CARD,"ride-hailing,grab"
2025-10-24,28000,"Grab (8AV)",Transport,CREDIT_CARD,"ride-hailing,grab"
2025-10-24,90930,"Gopay-Gojek",Transport,CREDIT_CARD,"gopay,gojek"
2025-10-25,19000,"Grab (PAV)",Transport,CREDIT_CARD,"ride-hailing,grab"
2025-10-25,19000,"Grab (QAV)",Transport,CREDIT_CARD,"ride-hailing,grab"
2025-10-25,16200,"Grab (AAV)",Transport,CREDIT_CARD,"ride-hailing,grab"
2025-10-25,27500,"Grab (QAV)",Transport,CREDIT_CARD,"ride-hailing,grab"
2025-10-25,152500,"Grab (8AV)",Transport,CREDIT_CARD,"ride-hailing,grab"
2025-10-26,28000,"Jus Kamoe",Food & Dining,CREDIT_CARD,"drinks,juice"
2025-10-26,127997,"DCrepes",Food & Dining,CREDIT_CARD,"dessert,snack"
2025-10-26,244000,"CGV - Green Pramuka",Entertainment,CREDIT_CARD,"cinema,movie"
2025-10-26,168875,"Github Copilot | Subscription",Software,CREDIT_CARD,"github,copilot,subscription"
2025-10-27,20451,"Grab (5AV)",Transport,CREDIT_CARD,"ride-hailing,grab"
2025-10-27,68000,"Ayam Bakar Mama Jelita",Food & Dining,CREDIT_CARD,"restaurant"
2025-10-28,7500,"Trx notif",Fees & Charges,CREDIT_CARD,"fee,bank"
2025-10-28,5000,"E-billing Statement Charge",Fees & Charges,CREDIT_CARD,"fee,bank"
2025-10-28,68000,"Ayam Bakar Mama Jelita",Food & Dining,CREDIT_CARD,"restaurant"
2025-10-28,57490,"Grab (4AV)",Transport,CREDIT_CARD,"ride-hailing,grab"
2025-10-29,95000,"MyTelkomsel Apps",Utilities,CREDIT_CARD,"phone,internet,data"
2025-10-29,100000,"Hexa Mitra Sistem PT-HO - Bensin",Transport,CREDIT_CARD,"fuel,car"
2025-10-29,30500,"Grab (DAV)",Transport,CREDIT_CARD,"ride-hailing,grab"
2025-10-29,41800,"Good Doctor",Health,CREDIT_CARD,"doctor"
2025-10-30,171088,"LinkedIn Premium (2/3 installment)",Subscriptions,CREDIT_CARD,"linkedin,subscription,installment"
2025-10-30,43334,"Starbucks (2/3 installment)",Food & Dining,CREDIT_CARD,"coffee,cafe,installment"
2025-10-30,49333,"Grab (SAV) (2/3 installment)",Transport,CREDIT_CARD,"ride-hailing,grab,installment"
2025-10-30,51666,"FW CCM (2/3 installment)",Shopping,CREDIT_CARD,"installment,other"
2025-10-30,55833,"Idm (2/3 installment)",Software,CREDIT_CARD,"idm,software,installment"
2025-10-30,44333,"Grab (SAV) (2/3 installment)",Transport,CREDIT_CARD,"ride-hailing,grab,installment"
2025-10-30,145867,"Tokopedia (2/3 installment)",Shopping,CREDIT_CARD,"tokopedia,online,installment"
2025-10-30,49615,"Gopay-Gojek (2/3 installment)",Transport,CREDIT_CARD,"gopay,gojek,installment"
2025-10-30,42076,"Grab (UAV)",Transport,CREDIT_CARD,"ride-hailing,grab"
2025-10-30,52625,"Grab (OAV)",Transport,CREDIT_CARD,"ride-hailing,grab"
2025-10-30,86770,"Grab (OAV)",Transport,CREDIT_CARD,"ride-hailing,grab"
2025-10-31,57100,"Grab (VAV)",Transport,CREDIT_CARD,"ride-hailing,grab"
2025-10-31,42700,"Idm",Software,CREDIT_CARD,"idm,software"
2025-10-31,10900,"Idm",Software,CREDIT_CARD,"idm,software"
2025-10-31,129500,"Grab (5AV)",Transport,CREDIT_CARD,"ride-hailing,grab"
2025-11-01,136451,"Grab (KKA)",Transport,CREDIT_CARD,"ride-hailing,grab"
2025-11-01,46224,"Grab (7AV)",Transport,CREDIT_CARD,"ride-hailing,grab"
2025-11-02,36700,"Good Doctor",Health,CREDIT_CARD,"doctor"
2025-11-02,61800,"DAV",Transport,CREDIT_CARD,"ride-hailing,grab"
2025-11-02,76675,"Grab (4AV)",Transport,CREDIT_CARD,"ride-hailing,grab"
2025-11-03,163586,"Tokopedia - SSD Adata (6/6 installment)",Shopping,CREDIT_CARD,"tokopedia,online,electronics,installment"
2025-11-03,168476,"Sogo (6/6 installment)",Shopping,CREDIT_CARD,"department-store,installment"
2025-11-03,65000,"Giovan Motor (6/6 installment)",Transport,CREDIT_CARD,"motorcycle,service,installment"
2025-11-03,141666,"Galaxy Toys Indo (6/6 installment)",Shopping,CREDIT_CARD,"toys,gift,installment"
2025-11-03,48000,"Grab (PAV)",Transport,CREDIT_CARD,"ride-hailing,grab"
2025-11-04,198200,"AlfaMidi",Groceries,CREDIT_CARD,"groceries,supermarket"
2025-11-05,500000,"Rumat Rawamangun",Health,CREDIT_CARD,"clinic,health"
2025-11-05,300000,"Klinik Pandawa",Health,CREDIT_CARD,"clinic,health"
2025-11-05,67000,"Grab (CAV)",Transport,CREDIT_CARD,"ride-hailing,grab"
2025-11-05,19000,"Grab (PAV)",Transport,CREDIT_CARD,"ride-hailing,grab"
2025-11-05,219500,"Grab (BAV)",Transport,CREDIT_CARD,"ride-hailing,grab"
2025-11-06,450000,"Rumat Rawamangun",Health,CREDIT_CARD,"clinic,health"
2025-11-06,21000,"Grab (CAV)",Transport,CREDIT_CARD,"ride-hailing,grab"
2025-11-06,17500,"Grab (UAV)",Transport,CREDIT_CARD,"ride-hailing,grab"
2025-11-07,51202,"Grab (UAV)",Transport,CREDIT_CARD,"ride-hailing,grab"
2025-11-07,101560,"Grab (AAV)",Transport,CREDIT_CARD,"ride-hailing,grab"
2025-11-08,425000,"Rumat Rawamangun",Health,CREDIT_CARD,"clinic,health"
2025-11-08,20500,"Grab (SAV)",Transport,CREDIT_CARD,"ride-hailing,grab"
2025-11-08,21000,"Grab (HAV)",Transport,CREDIT_CARD,"ride-hailing,grab"
2025-11-08,60999,"Steam Purchase",Entertainment,CREDIT_CARD,"steam,gaming"
2025-11-09,1122506,"Tokopedia - Handphone S25+ (5/13 installment)",Shopping,CREDIT_CARD,"tokopedia,phone,electronics,installment"
2025-11-09,72962,"Bunga cicilan",Fees & Charges,CREDIT_CARD,"interest,installment"
2025-11-09,120000,"Mcd",Food & Dining,CREDIT_CARD,"restaurant,fast-food,mcd"
2025-11-10,150180,"Tokopedia - Case + Tempered Glass S25+ (5/6 installment)",Shopping,CREDIT_CARD,"tokopedia,phone,accessories,installment"
2025-11-10,57557,"Grab (VAV)",Transport,CREDIT_CARD,"ride-hailing,grab"
2025-11-10,32333,"Grab (FAV)",Transport,CREDIT_CARD,"ride-hailing,grab"
2025-11-10,24000,"Grab (e84)",Transport,CREDIT_CARD,"ride-hailing,grab"
2025-11-11,16650,"Google Sky Tonight | Subscription",Software,CREDIT_CARD,"google,subscription,app"
2025-11-11,425000,"Rumat Rawamangun",Health,CREDIT_CARD,"clinic,health"
2025-11-11,217800,"Sederhana Baru",Food & Dining,CREDIT_CARD,"restaurant"
2025-11-11,55850,"Grab (SAV)",Transport,CREDIT_CARD,"ride-hailing,grab"
2025-11-11,65490,"Google Vision Live | Subscription",Software,CREDIT_CARD,"google,subscription,app"
2025-11-11,3000,"Grab (6AV)",Transport,CREDIT_CARD,"ride-hailing,grab"
2025-11-11,17500,"Grab (6AV)",Transport,CREDIT_CARD,"ride-hailing,grab"
2025-11-11,23500,"Grab (KAV)",Transport,CREDIT_CARD,"ride-hailing,grab"
2025-11-12,90000,"Berlian Motor",Transport,CREDIT_CARD,"car,service"
2025-11-13,500000,"Ibox (23/24 installment)",Shopping,CREDIT_CARD,"ibox,apple,phone,installment"
